# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.480738294809923,4.56766725499263,179.94817321960386,0,1.0,-0.3559131744162538,180.0,0.0,0.0
 0.10407521731424856,2.475322471596052,4.567672153865798,179.94817321960386,0.10407521731424856,1.0,-0.3559131744162538,180.0,-2.593985296471368,0.0
 0.1459262331637738,2.470091084759627,4.567686798090941,179.83961229984777,0.1459262331637738,1.0,-0.39226253642198256,180.0,-3.696637177204423,0.0
 0.1771763706238127,2.4650426429035486,4.567711109076506,179.72409187992025,0.17717637062381267,0.9999999999999991,-0.43355919395432735,180.0,-4.807398068072057,0.0
 0.20279467192677786,2.4601756546307145,4.567745008230948,179.60093450772908,0.20279467192677783,1.0,-0.48066016287297747,180.0,-5.999826215451546,0.0
 0.22472234680851927,2.455488628544027,4.567788416962718,179.4693722691297,0.22472234680851924,1.0,-0.5346052880829454,180.0,-7.320037460947658,0.0
 0.24396283119399514,2.450980073246383,4.567841256680269,179.32853120266125,0.2439628311939951,0.9999999999999986,-0.5966641334075636,180.0,-8.809628487739454,0.0
 0.26111665537553885,2.4466484973406843,4.56790344879205,179.17741238447786,0.2611166553755388,1.0,-0.6683970710999139,180.0,-10.512994946371625,1.838259769443718e-12
 0.2765778594462806,2.442492409429829,4.567974914706515,179.01486882421733,0.27657785944628055,1.0,-0.7517355785905349,180.00000000000003,-12.481515940925236,-2.023745971447336e-12
 0.29062196865336526,2.4385103181167174,4.568055575832116,178.83957705127304,0.2906219686533652,1.0,-0.8490887876236932,180.0,-14.645947065163853,0.0
 0.3035658319629232,2.434700732004248,4.568145353577304,178.65000191442252,0.2981734686767719,0.5834038758606616,-0.9634863078771144,180.0,-16.494109483590403,0.0
 0.31603387598637206,2.431062159695322,4.568244169350531,178.4443526312535,0.28570542465332305,-1.0,-1.0987717721917,180.0,-18.024588030054836,0.0
 0.3284516456733444,2.4275931097928383,4.568351944560249,178.22052744839374,0.2732876549663507,-1.0,-1.2598682153517564,180.0,-19.770283154704053,0.0
 0.34081788852274053,2.4242920908996966,4.568468600614909,177.97604332570134,0.2609214121169546,-1.0,-1.453146582045491,180.0,-21.77305291123674,2.3082166753732573e-12
 0.35313116471281397,2.421157611618796,4.568594058922965,177.7079457117042,0.24860813592688114,-1.0,-1.6869445050189873,180.00000000000003,-24.08538816433979,-2.3185037301737906e-12
 0.3653898076731484,2.4181881805530367,4.568728240892867,177.41269153763648,0.2363494929665467,-1.0000000000000022,-1.9723076042291887,180.0,-26.77381057183462,0.0
 0.3775918743152267,2.4153823063053173,4.568871067933066,177.08599571677658,0.22414742632446832,-1.0000000000000022,-2.3240660689004757,180.0,-29.923601755547473,0.0
 0.3897350816725939,2.412738497478539,4.569022461452016,176.7226272157797,0.21200421896710112,-1.0000000000000022,-2.762426186999263,180.0,-33.64549155926073,0.0
 0.4018167255192811,2.4102552626755998,4.569182342858167,176.316134369714,0.19992257512041392,-1.0,-3.31536941793936,180.0,-38.0852843243802,-2.3651548415639204e-12
 0.41383357487346994,2.4079311104994,4.569350633559973,175.85846924537648,0.1879057257662251,-0.9999999999999977,-4.02234725390355,179.99999999999997,-43.43798432743968,2.378752178076518e-12
 0.42578173395130464,2.4057645495528392,4.569527254965884,175.3394652986117,0.17595756668839044,-0.9999999999999977,-4.940108643796571,180.0,-49.96897109557161,0.0
 0.4376564598394583,2.403754088438817,4.569712128484352,174.74609746393875,0.16408284080023683,-0.9999999999999977,-6.15213692427241,180.0,-58.04650443888175,0.0
 0.44945191956739905,2.4018982357602328,4.56990517552383,174.0614122584822,0.15228738107229606,-1.0,-7.784389785356245,180.0,-68.19295451951098,0.0
 0.4611608640659413,2.400195500119987,4.570106317492769,173.2629447388216,0.14057843657375382,-0.9999999999999977,-10.032436026276413,180.0,-81.16795135475357,2.4473361600872456e-12
 0.47277418874684285,2.3986443901209777,4.57031547579962,172.32031496605524,0.12896511189285229,-1.0,-13.21001967664729,180.00000000000003,-98.10783349421384,-2.4701311670991524e-12
 0.48428034267460435,2.3972434143661054,4.570532571852836,171.1914711323516,0.11745895796509082,-0.9999999999999976,-17.83971352428986,180.0,-120.76816377067414,-2.496591621528737e-12
 0.49566454711770047,2.39599108145827,4.570757527060869,169.81662166576893,0.1060747535219947,-0.9999999999999988,-24.830403377563297,179.99999999999997,-151.9625814099023,0.0
 0.5069078124163424,2.3948859000003706,4.57099026283217,168.10806604751093,0.09483148822335276,-1.0,-35.843914740002944,179.99999999999997,-196.39092844971427,5.131170042208734e-12
 0.517985874221587,2.393926378595306,4.5712307005751915,165.93243520415564,0.0837534264181081,-1.0000000000000038,-54.098503609031226,180.00000000000003,-262.2655822680153,-2.611622502051919e-12
 0.528868652803895,2.3931110258459776,4.571478761698385,163.07825694257275,0.0728706478358002,-0.9999999999999988,-86.24160909644857,180.0,-364.5855469323243,0.0
 0.5395225200323563,2.3924383503552833,4.571734367610203,159.1940109321398,0.062216780607338776,-1.0000000000000027,-146.9488393223353,180.0,-531.4903636088125,0.0
 0.5499236490155216,2.3919068607261242,4.571997439719096,153.66591110693514,0.05181565162417352,-1.0,-270.2152598136226,180.0,-812.9195345888849,0.0
 0.5601135598591747,2.3915150655613986,4.572267899433517,145.38233352641043,0.041625740780520476,-0.9999999999999987,-530.7899498136387,180.0,-1259.2892933635871,0.0
